initial energies / MeV,final energies / MeV,energy losses / MeV
347.74295485909715,336.7496713608529,10.993283498244239
349.7407948158963,338.7858584764168,10.954936339479502
351.7386347726955,340.821589709289,10.917045063406476
353.7364747294946,342.8568758671052,10.8795988623894
355.7343146862937,344.89172739399623,10.84258729229748
357.7321546430929,346.9261543860535,10.806000257039386
359.729994599892,348.9601666059751,10.76982799391692
361.72783455669116,350.9937734970008,10.734061059690362
363.7256745134903,353.0269841961188,10.698690317371472
365.7235144702894,355.0598075466567,10.663706923632674
367.72135442708856,357.0922521102114,10.629102316877152
369.71919438388767,359.1243261780285,10.594868205859143
371.71703434068684,361.15603778181867,10.560996558868169
373.71487429748595,363.1873947040424,10.527479593443559
375.7127142542851,365.2184044877361,10.494309766549009
377.71055421108423,367.2490744458469,10.461479765237357
379.70839416788334,369.27941167014035,10.428982497742993
